addition to geoid,geoid,,hpi 2010,hpi 2019,% change
,6037137104,14000US06037137104,422.38,649.01,0.54
,6037137201,14000US06037137201,607.72,934.48,0.54
,6037137301,14000US06037137301,331.65,517.65,0.56
,6037137302,14000US06037137302,314.76,467.16,0.48
,6037137401,14000US06037137401,676.18,1015.79,0.5
,6037137402,14000US06037137402,526.79,807.61,0.53
,6037137501,14000US06037137501,167.4,242.91,0.45
,6037137502,14000US06037137502,609.89,902.57,0.48
,6037137504,14000US06037137504,280.72,370.44,0.32
,6037138000,14000US06037138000,538.52,799.49,0.48
,6037139001,14000US06037139001,660.64,1152.1,0.74
,6037139200,14000US06037139200,603.41,1059.36,0.76
,6037139301,14000US06037139301,558.71,878.86,0.57
,6037139401,14000US06037139401,206.86,320.64,0.55
,6037139402,14000US06037139402,324.26,479.23,0.48
,6037139502,14000US06037139502,575.62,833.51,0.45
,6037139600,14000US06037139600,176.62,231.81,0.31
,6037139701,14000US06037139701,346.93,529.39,0.53
,6037139702,14000US06037139702,327.54,405.25,0.24
,6037139703,14000US06037139703,346.69,478.5,0.38
,6037139801,14000US06037139801,273.32,390.68,0.43
,6037139802,14000US06037139802,273.13,409.11,0.5
,6037141101,14000US06037141101,376.97,654.49,0.74
,6037141102,14000US06037141102,410.7,638.3,0.55
,6037141201,14000US06037141201,433.16,740.93,0.71
,6037141302,14000US06037141302,402.82,666.73,0.66
,6037141304,14000US06037141304,390.84,691.48,0.77
,6037141400,14000US06037141400,328.69,487.9,0.48
,6037141600,14000US06037141600,363.99,521.66,0.43
,6037141700,14000US06037141700,365.38,559.46,0.53
,6037143100,14000US06037143100,344.94,493.74,0.43
,6037143200,14000US06037143200,212.26,332.53,0.57
,6037143300,14000US06037143300,389.25,656.84,0.69
,6037143400,14000US06037143400,423.32,693.6,0.64
,6037143500,14000US06037143500,410.38,623.35,0.52
,6037143602,14000US06037143602,454.13,680.78,0.5
,6037143700,14000US06037143700,411.89,624.88,0.52
,6037143800,14000US06037143800,345.43,588.09,0.7
,6037143901,14000US06037143901,365.68,537.12,0.47
,6037181000,14000US06037181000,683.09,1288.17,0.89
,6037181300,14000US06037181300,489.34,901.71,0.84
,6037181400,14000US06037181400,406.33,759.92,0.87
,6037181500,14000US06037181500,576.94,1158.76,1.01
,6037181600,14000US06037181600,366.54,703.05,0.92
,6037183101,14000US06037183101,565.65,1188.9,1.1
,6037183103,14000US06037183103,182.41,393.5,1.16
,6037183104,14000US06037183104,346.72,681.43,0.97
,6037183220,14000US06037183220,360.81,834.25,1.31
,6037183221,14000US06037183221,371.71,810.45,1.18
,6037183222,14000US06037183222,377.61,762.04,1.02
,6037183300,14000US06037183300,338.14,829.84,1.45
,6037183401,14000US06037183401,385.49,928.24,1.41
,6037183402,14000US06037183402,199.09,371.15,0.86
,6037183510,14000US06037183510,348.92,803.08,1.3
,6037183520,14000US06037183520,219.13,456.33,1.08
,6037183610,14000US06037183610,188.42,471.29,1.5
,6037183620,14000US06037183620,351.51,798.65,1.27
,6037183701,14000US06037183701,349.28,759.44,1.17
,6037183702,14000US06037183702,380.84,762.58,1
,6037183810,14000US06037183810,126.55,301.05,1.38
,6037185100,14000US06037185100,560.27,1080.86,0.93
,6037185202,14000US06037185202,395.8,782.8,0.98
,6037185203,14000US06037185203,199.84,392.57,0.96
,6037185204,14000US06037185204,370.97,709.9,0.91
,6037185310,14000US06037185310,207.9,464.66,1.24
,6037185320,14000US06037185320,139.3,354.65,1.55
,6037186100,14000US06037186100,515.49,949.3,0.84
,6037186201,14000US06037186201,210.7,459.88,1.18
,6037186202,14000US06037186202,317.57,607.92,0.91
,6037186203,14000US06037186203,563.95,1138.2,1.02
,6037186301,14000US06037186301,239.73,464.65,0.94
,6037186302,14000US06037186302,522.03,1011.98,0.94
,6037186403,14000US06037186403,362.81,786.44,1.17
,6037186404,14000US06037186404,204.13,444.78,1.18
,6037187101,14000US06037187101,465.09,861.23,0.85
,6037187102,14000US06037187102,421.44,770.77,0.83
,6037187200,14000US06037187200,198.47,390.42,0.97
,6037187300,14000US06037187300,403.35,711.08,0.76
,6037188100,14000US06037188100,372.69,717.04,0.92
,6037188300,14000US06037188300,621.9,1096.38,0.76
,6037189101,14000US06037189101,168.35,275.4,0.64
,6037189400,14000US06037189400,413.58,696.43,0.68
,6037189600,14000US06037189600,389.8,617.09,0.58
,6037189701,14000US06037189701,384.92,622.56,0.62
,6037190802,14000US06037190802,122.9,261.49,1.13
,6037191610,14000US06037191610,125.78,247.93,0.97
,6037191902,14000US06037191902,533.28,902.83,0.69
,6037192002,14000US06037192002,498.42,786.75,0.58
,6037192300,14000US06037192300,267.02,357.41,0.34
,6037192410,14000US06037192410,475.65,791.8,0.66
,6037194101,14000US06037194101,246.86,450.52,0.83
,6037194102,14000US06037194102,372.28,453.24,0.22
,6037194200,14000US06037194200,365.49,580.66,0.59
,6037194300,14000US06037194300,363.16,608.21,0.67
,6037195100,14000US06037195100,609.16,1051.45,0.73
,6037195202,14000US06037195202,464.68,832.37,0.79
,6037195300,14000US06037195300,228.61,378.19,0.65
,6037195400,14000US06037195400,438.92,693.94,0.58
,6037195500,14000US06037195500,487.46,872.28,0.79
,6037195600,14000US06037195600,264.4,466.24,0.76
,6037195710,14000US06037195710,128.37,274.23,1.14
,6037195803,14000US06037195803,239,513.52,1.15
,6037195902,14000US06037195902,281.17,575.43,1.05
,6037197200,14000US06037197200,305.84,750.34,1.45
,6037197300,14000US06037197300,247.17,490.12,0.98
,6037197410,14000US06037197410,464.76,899.47,0.94
,6037197420,14000US06037197420,246.99,540.47,1.19
,6037197500,14000US06037197500,148.1,312.55,1.11
,6037199110,14000US06037199110,166.21,404.03,1.43
,6037199202,14000US06037199202,179.17,382.31,1.13
,6037199300,14000US06037199300,338.1,712.79,1.11
,6037199400,14000US06037199400,181.88,432.57,1.38
,6037199800,14000US06037199800,155.69,350.98,1.25
,6037201110,14000US06037201110,190.88,421.11,1.21
,6037201120,14000US06037201120,216.92,439.8,1.03
,6037201200,14000US06037201200,185.81,453.76,1.44
,6037201301,14000US06037201301,350.2,748.05,1.14
,6037201302,14000US06037201302,206.16,417.18,1.02
,6037201401,14000US06037201401,337.1,759.57,1.25
,6037201402,14000US06037201402,321.55,676.94,1.11
,6037201501,14000US06037201501,340.16,690.01,1.03
,6037201503,14000US06037201503,176.34,384.4,1.18
,6037201504,14000US06037201504,190.4,442.51,1.32
,6037201601,14000US06037201601,321.63,665.71,1.07
,6037201602,14000US06037201602,303.25,651.79,1.15
,6037201700,14000US06037201700,332.58,765.13,1.3
,6037203200,14000US06037203200,136.12,361.41,1.66
,6037203800,14000US06037203800,152.18,372.9,1.45
,6037204700,14000US06037204700,139.02,320.06,1.3
,6037204920,14000US06037204920,105.61,213.58,1.02
,6037212701,14000US06037212701,200.05,402.05,1.01
,6037212702,14000US06037212702,444.08,924.3,1.08
,6037212800,14000US06037212800,213.12,449.68,1.11
,6037216100,14000US06037216100,233.16,338.75,0.45
,6037216700,14000US06037216700,490.24,842.44,0.72
,6037216900,14000US06037216900,492.19,973.88,0.98
,6037217001,14000US06037217001,469.7,507.62,0.08
,6037217002,14000US06037217002,472.67,897.5,0.9
,6037217100,14000US06037217100,542.55,1026.45,0.89
,6037217200,14000US06037217200,232.88,497.55,1.14
,6037218110,14000US06037218110,226.51,443.71,0.96
,6037218120,14000US06037218120,175.74,432.3,1.46
,6037218210,14000US06037218210,118.15,302.3,1.56
,6037218220,14000US06037218220,208.09,397.2,0.91
,6037218300,14000US06037218300,432.54,955.11,1.21
,6037218400,14000US06037218400,228.37,522.8,1.29
,6037218500,14000US06037218500,230.01,594.12,1.58
,6037218600,14000US06037218600,187.2,509.54,1.72
,6037218701,14000US06037218701,229.63,519.13,1.26
,6037218900,14000US06037218900,195.39,427.17,1.19
,6037219010,14000US06037219010,167.85,423.08,1.52
,6037219020,14000US06037219020,192.96,546.27,1.83
,6037219300,14000US06037219300,122.83,301.5,1.45
,6037219500,14000US06037219500,286.86,646.9,1.26
,6037219700,14000US06037219700,199.77,530.97,1.66
,6037219800,14000US06037219800,180.48,425.13,1.36
,6037219901,14000US06037219901,191.28,499.92,1.61
,6037219902,14000US06037219902,224.89,498.96,1.22
,6037220000,14000US06037220000,208.88,544.63,1.61
,6037220100,14000US06037220100,196.07,395.01,1.01
,6037221210,14000US06037221210,172.7,350.64,1.03
,6037221401,14000US06037221401,133.8,247.18,0.85
,6037222001,14000US06037222001,224.98,544.31,1.42
,6037222002,14000US06037222002,173.61,438.42,1.53
,6037222100,14000US06037222100,175.3,419.27,1.39
,6037222200,14000US06037222200,143.17,333.09,1.33
,6037222500,14000US06037222500,180.24,455.92,1.53
,6037228220,14000US06037228220,116.64,229.69,0.97
,6037228500,14000US06037228500,128.84,224.73,0.74
,6037228800,14000US06037228800,131.4,236.72,0.8
,6037229100,14000US06037229100,135.53,335.97,1.48
,6037231300,14000US06037231300,172.01,405.59,1.36
,6037231400,14000US06037231400,182.08,421.12,1.31
,6037231500,14000US06037231500,188.19,467.29,1.48
,6037231600,14000US06037231600,177.74,409.64,1.3
,6037232200,14000US06037232200,125.23,273.59,1.18
,6037232300,14000US06037232300,171.93,413.68,1.41
,6037232400,14000US06037232400,185.67,456.89,1.46
,6037232500,14000US06037232500,172.67,367.17,1.13
,6037232600,14000US06037232600,177.39,397.88,1.24
,6037232700,14000US06037232700,172.22,353.77,1.05
,6037234000,14000US06037234000,291.11,665.91,1.29
,6037234200,14000US06037234200,303.58,684.18,1.25
,6037234300,14000US06037234300,312.89,663.33,1.12
,6037234501,14000US06037234501,176.66,377.39,1.14
,6037234502,14000US06037234502,156.26,312.71,1
,6037234600,14000US06037234600,322.33,685.17,1.13
,6037234700,14000US06037234700,181.61,410.49,1.26
,6037234800,14000US06037234800,185.84,445.86,1.4
,6037235100,14000US06037235100,537.88,1159.78,1.16
,6037235201,14000US06037235201,222.73,466.38,1.09
,6037235202,14000US06037235202,275.48,531.85,0.93
,6037236000,14000US06037236000,287.75,597.97,1.08
,6037236100,14000US06037236100,175.67,400,1.28
,6037236400,14000US06037236400,255.68,515.4,1.02
,6037237201,14000US06037237201,116.21,244.75,1.11
,6037237202,14000US06037237202,173.34,344.66,0.99
,6037237300,14000US06037237300,189.27,404.55,1.14
,6037237401,14000US06037237401,145.67,355.37,1.44
